customer_id,event_date,channel,campaign,device,event_type,revenue
8058,2025-04-08,Google Ads,Black Friday,Desktop,page_view,0.0
6055,2026-05-02,Organic,New Customers,Desktop,product_view,0.0
1696,2025-12-06,Direct,Brand Awareness,Desktop,page_view,0.0
2094,2025-11-12,Google Ads,Black Friday,Tablet,add_to_cart,0.0
7650,2025-04-13,Email,Summer Sale,Desktop,purchase,161.66
6146,2025-03-02,Facebook,New Customers,Mobile,page_view,0.0
2261,2025-11-28,Google Ads,Summer Sale,Mobile,add_to_cart,0.0
1394,2025-06-30,Direct,Black Friday,Tablet,product_view,0.0
8103,2025-05-18,Facebook,Black Friday,Mobile,add_to_cart,0.0
7218,2025-12-22,Facebook,Summer Sale,Tablet,product_view,0.0
1604,2025-07-23,Google Ads,Retargeting,Mobile,add_to_cart,0.0
2686,2025-11-25,Direct,Summer Sale,Desktop,purchase,431.61
6228,2025-11-03,Direct,Summer Sale,Mobile,product_view,0.0
5070,2025-10-09,Facebook,New Customers,Mobile,page_view,0.0
4665,2025-10-11,Direct,Black Friday,Tablet,product_view,0.0
5327,2026-03-12,Email,Brand Awareness,Tablet,product_view,0.0
9987,2025-03-05,Organic,Summer Sale,Tablet,product_view,0.0
2913,2025-01-04,Google Ads,Black Friday,Desktop,product_view,0.0
1407,2025-06-10,Facebook,Black Friday,Desktop,page_view,0.0
7291,2026-05-10,Google Ads,Summer Sale,Desktop,page_view,0.0
2708,2025-01-12,Organic,Black Friday,Tablet,page_view,0.0
5577,2026-05-08,Organic,Retargeting,Tablet,add_to_cart,0.0
3864,2025-09-10,Email,Summer Sale,Desktop,page_view,0.0
2937,2025-12-05,Facebook,Black Friday,Tablet,add_to_cart,0.0
5444,2026-03-24,Google Ads,New Customers,Mobile,page_view,0.0
8042,2026-02-28,Organic,Retargeting,Mobile,product_view,0.0
5006,2025-11-20,Direct,Retargeting,Mobile,page_view,0.0
8122,2026-03-22,Email,Summer Sale,Desktop,product_view,0.0
8211,2025-07-23,Direct,Summer Sale,Desktop,page_view,0.0
2647,2025-11-14,Email,New Customers,Desktop,add_to_cart,0.0
8633,2025-12-23,Facebook,Brand Awareness,Mobile,product_view,0.0
5645,2026-04-28,Direct,New Customers,Desktop,add_to_cart,0.0
4991,2025-08-13,Email,Retargeting,Tablet,add_to_cart,0.0
8793,2025-08-10,Email,Black Friday,Mobile,add_to_cart,0.0
1475,2025-02-06,Organic,Brand Awareness,Desktop,product_view,0.0
9509,2026-02-23,Google Ads,Black Friday,Mobile,page_view,0.0
9475,2025-09-08,Facebook,New Customers,Mobile,add_to_cart,0.0
1013,2025-01-06,Facebook,Retargeting,Desktop,add_to_cart,0.0
6244,2025-10-08,Facebook,Brand Awareness,Desktop,page_view,0.0
2552,2025-11-19,Email,New Customers,Mobile,page_view,0.0
1674,2025-11-10,Organic,Brand Awareness,Desktop,page_view,0.0
3813,2026-03-18,Email,New Customers,Tablet,add_to_cart,0.0
4000,2025-08-10,Facebook,Brand Awareness,Tablet,add_to_cart,0.0
2253,2026-04-10,Direct,New Customers,Tablet,page_view,0.0
2023,2025-09-07,Organic,New Customers,Tablet,add_to_cart,0.0
3128,2025-06-09,Facebook,Brand Awareness,Desktop,product_view,0.0
5840,2026-01-16,Direct,Retargeting,Tablet,page_view,0.0
9129,2025-05-01,Google Ads,Summer Sale,Desktop,product_view,0.0
1250,2025-06-21,Google Ads,Black Friday,Desktop,product_view,0.0
1431,2025-04-25,Direct,Brand Awareness,Mobile,page_view,0.0
1814,2025-01-15,Facebook,Brand Awareness,Desktop,page_view,0.0
2094,2025-08-11,Direct,Black Friday,Desktop,product_view,0.0
6608,2026-02-04,Facebook,Black Friday,Tablet,product_view,0.0
5864,2025-03-13,Organic,Summer Sale,Desktop,page_view,0.0
6142,2026-02-06,Organic,Brand Awareness,Mobile,page_view,0.0
8645,2026-01-06,Facebook,Brand Awareness,Tablet,add_to_cart,0.0
4863,2026-01-11,Facebook,New Customers,Mobile,product_view,0.0
2030,2025-02-18,Organic,Brand Awareness,Desktop,page_view,0.0
1486,2026-03-02,Facebook,New Customers,Mobile,add_to_cart,0.0
9105,2025-10-10,Google Ads,Black Friday,Mobile,page_view,0.0
